#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,TRUE
150,MewtwoMega Mewtwo Y,Psychic,None,780,106,150,70,194,120,140,1,TRUE
151,Mew,Psychic,None,600,100,100,100,100,100,100,1,FALSE
160,Feraligatr,Water,None,530,85,105,100,79,83,78,2,FALSE
185,Sudowoodo,Rock,None,410,70,100,115,30,65,30,2,FALSE
208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,FALSE
210,Granbull,Fairy,None,450,90,120,75,60,60,45,2,FALSE
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,FALSE
212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,FALSE
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,FALSE
214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,FALSE
217,Ursaring,Normal,None,500,90,130,75,75,75,55,2,FALSE
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,FALSE
224,Octillery,Water,None,480,75,105,75,105,75,45,2,FALSE
232,Donphan,Ground,None,500,90,120,120,60,60,50,2,FALSE
244,Entei,Fire,None,580,115,115,85,90,75,100,2,TRUE
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,FALSE
248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,FALSE
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,TRUE
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,FALSE
254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,FALSE
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,FALSE
257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,FALSE
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,FALSE
260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,FALSE
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,FALSE
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,FALSE
289,Slaking,Normal,None,670,150,160,100,95,65,100,3,FALSE
297,Hariyama,Fighting,None,474,144,120,60,40,60,50,3,FALSE
303,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,FALSE
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,FALSE
306,AggronMega Aggron,Steel,None,630,70,140,230,60,80,50,3,FALSE
308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,FALSE
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,FALSE
319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,FALSE
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,FALSE
323,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,FALSE
328,Trapinch,Ground,None,290,45,100,45,45,45,10,3,FALSE
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,FALSE
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,FALSE
334,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,FALSE
335,Zangoose,Normal,None,458,73,115,60,60,60,90,3,FALSE
336,Seviper,Poison,None,458,73,100,60,100,60,65,3,FALSE
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,FALSE
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,FALSE
354,Banette,Ghost,None,455,64,115,65,83,63,65,3,FALSE
354,BanetteMega Banette,Ghost,None,555,64,165,75,93,83,75,3,FALSE
359,Absol,Dark,None,465,65,130,60,75,60,75,3,FALSE
359,AbsolMega Absol,Dark,None,565,65,150,60,115,60,115,3,FALSE
362,GlalieMega Glalie,Ice,None,580,80,120,80,120,80,100,3,FALSE
367,Huntail,Water,None,485,55,104,105,94,75,52,3,FALSE
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,FALSE
373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,FALSE
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,FALSE
376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,FALSE
377,Regirock,Rock,None,580,80,100,200,50,100,50,3,TRUE
380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,TRUE
381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,TRUE
382,Kyogre,Water,None,670,100,100,90,150,140,90,3,TRUE
383,Groudon,Ground,None,670,100,150,140,100,90,90,3,TRUE
383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,TRUE
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,TRUE
384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,TRUE
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,TRUE
386,DeoxysNormal Forme,Psychic,None,600,50,150,50,150,50,150,3,TRUE
386,DeoxysAttack Forme,Psychic,None,600,50,180,20,180,20,150,3,TRUE
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,FALSE
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,FALSE
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,FALSE
405,Luxray,Electric,None,523,80,120,79,95,79,70,4,FALSE
408,Cranidos,Rock,None,350,67,125,40,30,30,58,4,FALSE
409,Rampardos,Rock,None,495,97,165,60,65,50,58,4,FALSE
419,Floatzel,Water,None,495,85,105,55,85,50,115,4,FALSE
424,Ambipom,Normal,None,482,75,100,66,60,66,115,4,FALSE
428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,FALSE
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,FALSE
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,FALSE
445,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,FALSE
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,FALSE
448,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,FALSE
450,Hippowdon,Ground,None,525,108,112,118,68,72,47,4,FALSE
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,FALSE
455,Carnivine,Grass,None,454,74,100,72,90,72,46,4,FALSE
460,AbomasnowMega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,FALSE
461,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,FALSE
464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,FALSE
465,Tangrowth,Grass,None,535,100,100,125,110,50,50,4,FALSE
466,Electivire,Electric,None,540,75,123,67,95,85,95,4,FALSE
470,Leafeon,Grass,None,525,65,110,130,60,65,95,4,FALSE
473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,FALSE
475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,FALSE
477,Dusknoir,Ghost,None,525,45,100,135,65,135,45,4,FALSE
481,Mesprit,Psychic,None,580,80,105,105,105,105,80,4,TRUE
482,Azelf,Psychic,None,580,75,125,70,125,70,115,4,TRUE
483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,TRUE
484,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,TRUE
486,Regigigas,Normal,None,670,110,160,110,80,110,100,4,TRUE
487,GiratinaAltered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,TRUE
487,GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,TRUE
490,Manaphy,Water,None,600,100,100,100,100,100,100,4,FALSE
492,ShayminLand Forme,Grass,None,600,100,100,100,100,100,100,4,TRUE
492,ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,TRUE
493,Arceus,Normal,None,720,120,120,120,120,120,120,4,TRUE
494,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,TRUE
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,FALSE
503,Samurott,Water,None,528,95,100,85,108,70,70,5,FALSE
508,Stoutland,Normal,None,500,85,110,90,45,90,80,5,FALSE
521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,FALSE
523,Zebstrika,Electric,None,497,75,100,63,80,63,116,5,FALSE
525,Boldore,Rock,None,390,70,105,105,50,40,20,5,FALSE
526,Gigalith,Rock,None,515,85,135,130,60,80,25,5,FALSE
530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,FALSE
533,Gurdurr,Fighting,None,405,85,105,85,40,50,40,5,FALSE
534,Conkeldurr,Fighting,None,505,105,140,95,55,65,45,5,FALSE
538,Throh,Fighting,None,465,120,100,85,30,85,45,5,FALSE
539,Sawk,Fighting,None,465,75,125,75,30,75,85,5,FALSE
542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,FALSE
545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,FALSE
553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,FALSE
555,DarmanitanStandard Mode,Fire,None,480,105,140,55,30,55,95,5,FALSE
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,FALSE
566,Archen,Rock,Flying,401,55,112,45,74,45,70,5,FALSE
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,FALSE
571,Zoroark,Dark,None,510,60,105,60,120,60,105,5,FALSE
586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,FALSE
589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,FALSE
601,Klinklang,Steel,None,520,60,100,115,70,85,90,5,FALSE
604,Eelektross,Electric,None,515,85,115,80,105,80,50,5,FALSE
611,Fraxure,Dragon,None,410,66,117,70,40,50,67,5,FALSE
612,Haxorus,Dragon,None,540,76,147,90,60,70,97,5,FALSE
614,Beartic,Ice,None,485,95,110,80,70,80,50,5,FALSE
620,Mienshao,Fighting,None,510,65,125,60,95,60,105,5,FALSE
621,Druddigon,Dragon,None,485,77,120,90,60,90,48,5,FALSE
623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,FALSE
625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,FALSE
626,Bouffalant,Normal,None,490,95,110,95,40,95,55,5,FALSE
628,Braviary,Normal,Flying,510,100,123,75,57,75,80,5,FALSE
632,Durant,Bug,Steel,484,58,109,112,48,48,109,5,FALSE
635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,FALSE
639,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,TRUE
641,TornadusIncarnate Forme,Flying,None,580,79,115,70,125,80,111,5,TRUE
641,TornadusTherian Forme,Flying,None,580,79,100,80,110,90,121,5,TRUE
642,ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,TRUE
642,ThundurusTherian Forme,Electric,Flying,580,79,105,70,145,80,101,5,TRUE
643,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,TRUE
644,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,TRUE
645,LandorusIncarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,TRUE
645,LandorusTherian Forme,Ground,Flying,600,89,145,90,105,80,91,5,TRUE
646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,TRUE
646,KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,TRUE
646,KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,TRUE
648,MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,FALSE
649,Genesect,Bug,Steel,600,71,120,95,120,95,99,5,FALSE
652,Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,FALSE
673,Gogoat,Grass,None,531,123,100,62,97,81,68,6,FALSE
675,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,FALSE
680,Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,FALSE
681,AegislashBlade Forme,Steel,Ghost,520,60,150,50,150,50,60,6,FALSE
689,Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,FALSE
697,Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,FALSE
706,Goodra,Dragon,None,600,90,100,70,110,150,80,6,FALSE
709,Trevenant,Ghost,Grass,474,85,110,76,65,82,56,6,FALSE
711,GourgeistSuper Size,Ghost,Grass,594,185,100,122,58,75,54,6,FALSE
713,Avalugg,Ice,None,514,95,117,184,44,46,28,6,FALSE
716,Xerneas,Fairy,None,680,126,131,95,131,98,99,6,TRUE
717,Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,TRUE
718,Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,TRUE
719,Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,TRUE
719,DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,TRUE
720,HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,TRUE
720,HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,TRUE
721,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,TRUE
